exchange, symbol, price, highestBidPercent, highestAskPercent, bidAskSpread, time
1,BTCUSDT,7991.52,99.96871683985023,100.03128316014975,0.000625467536983962,1526612544.3215377
1,BTCUSDT,7991.52,99.96871683985023,100.03128316014975,0.000625467536983962,1526612544.5942125
1,BTCUSDT,7991.515,99.96865425391806,100.03134574608194,0.000626718472057886,1526612544.8599417
1,BTCUSDT,7991.51,99.96871680070475,100.03128319929526,0.0006254683194041615,1526612545.3316574
1,BTCUSDT,7991.51,99.96871680070475,100.03128319929526,0.0006254683194041615,1526612545.608224
1,BTCUSDT,7991.51,99.96871680070475,100.03128319929526,0.0006254683194041615,1526612545.882604
1,BTCUSDT,7991.51,99.96871680070475,100.03128319929526,0.0006254683194041615,1526612546.1671827
1,BTCUSDT,7991.51,99.96871680070475,100.03128319929526,0.0006254683194041615,1526612546.4553118
1,BTCUSDT,7994.305,99.99868656499845,100.00131343500153,2.6268355013071295e-05,1526612546.9287832
1,BTCUSDT,7994.305,99.99868656499845,100.00131343500153,2.6268355013071295e-05,1526612547.203685
